task,coder3,coder2,coder1
"leroy c. sutherland for boat dock with pier & platform supported by three 14-sq.in.t-piles, gangway, and float, at 1401 north bay front, newport beach, orange county.  ",3,3,3
"sdg & e for permanent fill of 25 sq.ft. of wetland habitat and temporary fill of 6,600 sq.ft. of wetland habitat to facilitate removal and replacement of damaged lattice tower carrying electric transmission lines, and mitigation/restoration for all wetland impacts within existing sdg &e utility easement next to agua hedionda creek, north of palomar airport road, west of el camino real, carlsbad, san diego county.   ",9,5,9
"california department of parks & recreation, attn: ronilee a. clark for entryway, nature exhibits, and 1,000-ft-long boardwalk from pelican point parking lot to bluff top, 350 sq.ft. viewing platform & benches for bluff top overlook, and 800-ft-long railroad tie stairs from viewing platform down bluff to beach, at crystal cove state park, unincorporated area, orange county.   ",11,11,2
"pelican point homeowners association to install 715-ft-long driven sheet-pile metal wall and retain riprap on zmudowski state beach, along pajaro river & watsonville slough sides of pajaro dunes condominium complex, at confluence of pajaro river, watsonville slough and pacific ocean in south santa cruz county.  ",5,5,5
"NA5-01-257  city of los angeles dept. of public works, granted permit with conditions for phase iii of ballona lagoon enhancement plan , at west bank of ballona lagoon, venice, los angeles, los angeles county.  ",9,9,9
"michael mcgee to add 33'x 6'4\ floating dock finger to u-shaped dock, at 221 rivo alto canal, long beach, los angeles county. """,3,3,3
"waterfont enterprises, inc. to relocate existing floating dock and skiff rental and install new 888 sq.ft. cantilevered fixed dining deck  on bay side  of balboa pavilion associated with existing harborside restaurant at 400 main st., newport beach, orange county.  ",4,3,3
"NANA a. application nos. 5-90-839, 5-90-840, 5-90-841, 5-90-842, 5-91-49, 5-91-50, 5-91-51, 5-91-58, 5-91-59, 5-91-183, 5-91-184, 5-91-185, 5-91-186, 5-91-187, 5-91-188 & 5-91-189  the superior court of los angeles county has ordered a public hearing and action on the following development: 1,200 foot long extension of sea level drive, 1000-ft-long rock revetment and twelve 35-ft-high single family homes with septic systems, at 31728, 31732, 31736, 31744, 31752, 31760, 31776, 31792, 31800, 31816, 31822, & 31808 sea level drive, also known as tract 10630 lots 140 through 155 west and lot a, malibu, los angeles county.   ",1,1,1
"jack lampl for 37-ft-high 70-ft-long tie-back seawall , and deck and stairway leading to beach, at 676-678 neptune avenue, encinitas, san diego county.  ",6,6,6
"kabir sundher for 4,754 sq.ft. 37-ft-high single-family home, 990 sq.ft. partial underground garage, motorcourt, driveway, pool, septic system, retaining walls, 2,993 cu.yds. of grading, and 650 cu.yds. of remedial work, at 21875 briar bluff road, near malibu, los angeles county.  ",1,1,1
"three arch bay community services district to expand 0.08 acre flood control debris basin to 0.15 acre, construct 3 to 9 foot compacted-fill berm, concrete spillway along north top of berm, and grade 530 cu.yds. of material to increase volume of basin, at on vista del sol, laguna beach, orange county.  ",7,7,7
"las virgenes municipal water district to extend recycled water service for irrigation of existing golf course, create water tank lot, construct 60-ft-diameter 400,000-gallon water tank, extend pipe from tank site along mulholland highway and along existing road within golf course, and revegetate disturbed areas, with 14,400 cu.yds of grading, at mulholland highway & westlake boulevard, santa monica mountains, los angeles county.  ",4,4,8
"d & d partnership llc for 40-ft-high 3,362 sq.ft. single-family home, with 2-car garage and area for two guest spaces, at 1335 palisades beach road, santa monica, los angeles county.  ",1,1,1
"jeff biebuyck to construct 4,607 sq. ft., 28 ft. high, two-story single family residence with attached 230 sq. ft. garage; 256 sq. ft. covered patio; detached 650 sq. ft., 24 ft. high garage with 600 sq. ft. guest house on second floor; 145 sq. ft. covered patio; pool and spa; retaining wall; drainage swales, driveway, septic system, temporary construction trailer, 4,783 cu. yds. of grading  and 620 cu. yds. of additional grading for removal and recompaction; and restoration and revegetation of as-built graded area at 24677 dry canyon cold creek road, calabasas, los angeles county  ",1,1,1
"nicholas and bonnie dacosta for after-the-fact authorization to construct 2,700  sq.ft. single-family home with 450 sq.ft. garage and related site improvements at 1301 pico avenue in the asilomar dunes area of pacific grove in monterey county.  ",1,1,1
"university of california, san diego to construct 5-story 50,265 sq.ft. addition to supercomputer center, at north campus within eleanor roosevelt college, ucsd campus, la jolla, san diego, san diego county.  ",2,2,2
"ventura county flood control for temporary permit for submersible pump & 14-inch polyethylene pipeline, and pumping to maintain water level of ormond beach lagoon at no greater than 5.5 feet msl, at \j\"" street drain, oxnard, ventura county.   """,7,7,7
"jim collings to demolish existing bulkhead and construct new bulkhead in same location at existing single-family residence, at 410 38th street, newport beach, orange county.  ",6,6,6
"advanced group 99-d, a california limited partnership to demolish 13,688 sq.ft., 4-level, 14-unit apartment while retaining on-grade stairway on bluff face, demolish 2,810 sq.ft. single-family home and construct new 51,177 sq.ft., 7-unit, 32-feet tall, 5-level condominium structure , common amenities including a fitness facility, meeting room, patio, pool and spa, hardscape and landscape improvements, 18 parking spaces, grading consisting of 11,460 cu.yds. of cut; demolish 2-slip floating dock structure and replace with new 7-slip floating dock and guest side-tie; lot line adjustment to merge 2 lots and portion of third lot into single 61,284 sq.ft. lot for residential purposes; and tentative tract map to combine 584 sq.ft. portion of 101 bayside place with parcels identified as 201-205 carnation avenue and to subdivide air space for 7 residential condominium units, at 201-205 & 207 carnation ave & 101 bayside place , newport beach, orange county.  ",2,2,2
"south county housing corporation for 53-unit 3-story senior apartment complex on 1.13 acre lot and .5 acre of chase park with public & visitor parking on lower 1/3 of chase park, and add landscaping & benches on upper 2/3 of chase park, at 650 jewell avenue, pacific grove, monterey county.  ",2,2,2
"city of long beach to dredge up to 150,000 cu.yds. of material a year for 5-year period from various channels, bays and harbors in long beach  and place dredged material at \east beach\"" and \""west beach\"" located on beach, between 1st place and junipero ave. , and between 54th and 72nd places , long beach, los angeles county.  """,7,7,7
"jeff & lisa simon to demolish single-family home, maintain parts of exterior wall & footings, and construct 4,062 sq.ft. 2-story single-family home with four parking spaces, on 7,581 sq.ft. lot, at 15318 de pauw street, pacific palisades, los angeles, los angeles county.  ",1,1,1
"aurora family, llc to construct 6,215 sq. ft., 32 ft. high, 2-story, single family residence with 785 sq. ft. attached 2-car garage and 475 sq. ft. attached 1-car garage; 750 sq. ft., 22 ft. high, 1-story guest house with attached 600 sq. ft. storage structure; 3,500 sq. ft. corral; pool; jacuzzi; solar panels; perimeter fencing; entry gates; septic system; water storage tanks; rainwater harvesting system; drainage structures; landscaping, two temporary construction trailers; partial revegetation/restoration of as-built access road; and request for after-the-fact approval of as-built water well, access road to well, and temporary placement of as-built plastic water tank. in addition, project includes 6,600 cu. yds. of grading ; new onsite access driveway with turnaround; improve and widen 610 ft. long segment of approximately 12-20 ft.-wide harrow and betton roads to 20 ft. in width; and lot line adjustment between subject parcel  and adjacent parcel  to reduce subject parcel by 0.28 acres in size resulting in 2.25 acre lot and 2.79 acre lot at 2746 harrow road & 2685 vista del mar road, topanga, los angeles county .  ",1,1,1
"caltrans to replace existing bridge with new 2-lane bridge, approximately 520 feet long with two  12-ft. lanes, two  6-ft. shoulders, and 5-ft. sidewalk for pedestrians on west side, at greenwood creek bridge, state route 1, south of elk, mendocino county.  ",11,11,11
"randolph rhett to demolish five cottages totaling 2,818 sq.ft. and construct five one-story plus loft, 558.5 sq.ft. cottages  on 8,011 sq.ft. lot, at 931-939 ocean avenue , del mar, san diego county.  ",2,2,2
"NA5-88-794-a4  application by bert kelly to amend permit for after-the-fact approval to construct soldier pile retaining wall, 6-ft-high concrete block privacy/perimeter wall, relocate residence approximately 10-ft further seaward, concrete slab, and landscaping, including request to abandon/remove public vertical access easement and relocate public lateral access easement further seaward at 26520 latigo shores drive, city of malibu ; los angeles county.  ",4,5,5
"city of san diego engineering department to reinforce existing piers and join paired piers together at water line for seismic safety at bridge no. 57c-015, north harbor drive between chauncey road and spanish landing park, san diego county.  ",3,3,3
"pacific gas and electric co. to remediate intake and discharge canals of former humboldt bay power plant, located along humboldt bay near eureka, humboldt county.   ",7,11,7
"herbicide in spring/summer, and revegetation with non-native grass, along 35 to 40-ft. wide, 1.4 mile reach of atascadero creek, santa barbara county.  ",9,11,9
"darren & shannon day for 539 sq.ft. apartment on site of single-family home, at 1510 highland drive, solana beach, san diego county.  ",1,2,1
"mike asay to add 214 sq.ft. to 2477 sq.ft. 1-story single-family home with attached 3-car garage on bluff top lot, at 4038 calle ariana, san clemente, orange county.  ",1,1,1
"jana whelan & kristin bonkemeyer for 3,265 sq.ft. 3- story single-family home with garage, septic system & 63 cu.yds. of grading, at 5632 calpine, malibu, los angeles county.   ",1,1,1
"san diego association of governments  to place approximately 2.5 million cu.yds. of sand dredged from 3 off-shore borrow sites onto 10 beaches in san diego area . preparation of mitigation and monitoring program to assess movement of sand throughout littoral system, and to evaluate and mitigate any potential impacts to biological resources, at beaches in oceanside, carlsbad, encinitas, solana beach, san diego, and imperial beach, san diego county.  ",7,7,7
"southern california gas company to repair 12-ft-wide by 130-ft-long southern california gas company dirt access road , and remove 10 cu.yds. of fill encroaching beyond original footprint of road, at 400 feet northeast of jefferson & culver boulevards, playa del rey, los angeles, los angeles county.  ",2,11,11
"clabe hartley for 2-story 3,800 sq.ft. restaurant with second story open dining deck , at 30 washington blvd., venice, los angeles, los angeles county.  ",2,2,2
"gingerlee field to remove and replace existing pier with platform & pilings and redeck existing float resulting in 32-ft-long by 4-ft-wide pier with 12 x 12 ft. platform with eight 12-in diameter pilings, at 1701 east bay, newport beach, orange county.  ",3,3,3
"texaco to abandon 1 subsea completion oil well, in state waters , 7,100 feet offshore, east of pt. conception, santa barbara county.   ",12,12,12
"nelson & gail yardley for temporary dirt access driveway with 250 cu.yds. of cut, for geologic testing to determine feasibility of permanent driveway, at 730 north topanga canyon blvd., topanga, los angeles county.   ",12,11,11
"NA5-98-120  irvine company granted permit for restaurant & bar with 76 parking spaces, 950 sq.ft. of outdoor patio area, and grading, at 900 bayside, newport beach, county of orange.  ",2,2,2
"city of goleta to divide 116.16acres into two lots , designate pedestrian-only trail from hollister avenue to coastal bluff, construct public parking lot for up to 45 vehicles , landscaping, educational signs, mutt mitts, trash receptacles, two new trail segments, and frontage improvements on hollister avenue , with 800 cu.yds. of grading, at santa barbara shores, goleta, santa barbara county.  ",10,11,11
"ronan properties lllp to construct 18-ft. high, 2-level with basement, 14,343 sq.ft. single-family home, 637 sq.ft. attached garage, swimming pool, septic system, 3,150 linear feet water line extension, 590 linear feet access road extension, hammerhead turnaround and access turnout, and 6,100 cu.yds. total grading , including implementation of habitat mitigation and monitoring plan and offer-to-dedicate open-space easement, located north of sweetwater mesa rd. in santa monica mountains, los angeles county.  ",1,1,1
"470 camino llc to subdivide 2.87 acre lot into 9 lots for residential development, 13,470 cu.yds. of grading, wetlands habitat enhancement and monitoring plan, and water quality management plan, at 470 camino san clemente, san clemente, orange county.  ",10,10,10
"richard livoni second family limited partnership to remove unpermitted retaining walls and beach access stairway from bluff face, regrade lower bluff to natural contours, add new caisson-supported deck with enclosed bathroom and spa equipment room on upper bluff face, extend bluff face deck, and construct new, at-grade pathway from new deck to beach. grading will consist of 163 cu. yds. of cut, 10 cu. yds. of fill, and 153 cu. yds. of export. landscaping is also proposed, at 3335 ocean boulevard, newport beach, orange county.  ",4,5,5
"harbour island condominium owners association to extend existing 18-slip public boat dock to an additional 185 feet, consisting of 6 slips, measuring 20 feet wide by 38 feet deep each, capable of mooring two boats in each slip, located in channel islands harbor, oxnard, ventura county.  ",3,3,3
"los angeles county department of public works for authorization of 175-ft. long, 17-ft. high as-built concrete soldier pile retaining wall constructed pursuant to emergency permit. project also includes reconstruction of approx. 130 feet of roadway, installation of 29 soldier piles, revegetation, and 320 cu.yds. of grading  along hillside drive at culvert marker 0.12 in the santa monica mountains, los angeles county.  ",5,5,5
"city of long beach for 1996 long beach in-the-water boat show , including installation and removal of temporary in-water and on-land facilities, temporary public recreation parking for displaced public parking, at marina green park and downtown marina, city of long beach, los angeles county.   ",11,11,11
"ronald chrislip to add 720 sq. ft. to first floor, 567 sq. ft. to second floor, and 40 sq.ft. to attached two-car garage of two-story single-family residence on canyon lot resulting in 2,881 sq. ft. home and 470 sq. ft. two-car garage, at 313 cazador lane, san clemente, orange county.  ",1,1,1
"michael greenhut to construct landscape features, circular driveway retained by 6-ft-high wall, install 1,000 sq.ft. lawn and remove artificial knoll, repair eroded part of slope next to saddle peak road and install drainage management structures and perform 883 cu.yds. grading, at 21900 saddle peak road, malibu, los angeles county.  ",5,4,1
"NA6-97-65  donald glatthorn granted permit with conditions to divide 5.85 acres into 4 lots, with grading, construction of private access, and single-family home, with off-site mitigation for impacts to native habitat, at 4800 block of echo hill lane, san diego county.  ",10,1,1
"lido investment co., l l c to demolish 10-unit apartment building, and re-divide 4 lots into 4 equally-sized lots, at 3336 via lido, newport beach, orange county.  ",10,10,10
"betty bissell to construct 5,366 sq.ft., 2-unit duplex on vacant lot, at 214 avenida montalvo, san clemente, orange county.  ",1,1,2
"jeff & nicolle thomas to demolish home, and construct 3,829 sq.ft. 2-story home & attached 803 sq.ft. garage, at 440 canyon drive, solana beach, san diego county.  ",1,1,1
"frank & ruth mercurio to demolish 2,114 sq.ft. 2-story home & detached storage sheds & construct 1-story, 5,445 sq.ft. home with attached 594 sq.ft. accessory dwelling unit, at 4866 sun valley road, lomas santa fe vicinity, san diego county.  ",1,1,1
"university of california, san diego for temporary  instrumentation in off-shore, near-shore & on-shore to investigate coastal bathymetry and near-shore coastal processes, three portable trailers on torrey pines state beach , and five office trailers on scripps institution of oceanography campus, at ucsd, la jolla, san diego, san diego county.  ",2,11,11
"david levy & paula gershoy to remodel and add interior floor to 1,443 sq.ft. 3-story dome single-family home at 2910 sequit drive, malibu, los angeles county.   ",1,1,1
"daniel archer for single-family home with attached garage, basement, driveway, extension of spray avenue, and on and off-site grading, at 21 spray avenue, del monte beach tract #2, monterey, monterey county.   ",1,1,1
"kim huntley to install 4x 3 landing & 19x 2.5 gangway to replace existing access ladder, and extend existing 6x 26 floating dock by eight feet  with no new piles, at 144 rivo alto canal, long beach, los angeles county.  ",3,3,3
"c. avery duff to construct 1-car garage, remodel and add 2nd-story to create 22½-ft-high 1,216 sq.ft. single-family home, at 30 fleet street, venice, los angeles, los angeles county.  ",1,1,1
"california department of parks and recreation for wetland restoration and wildlife enhancement plan involving creation of two 1/8 acre ponds and removal of tules encroaching open water in turtle pond, at big basin redwoods state park , north coast, santa cruz county.  ",9,9,9
"revel corporation to demolish single-family home and construct 5-unit condominium with garage below, driveway, sidewalks, grading and tree removal, northeast corner of mission st. & fourth ave., carmel, monterey county.   ",2,2,2
"beach king, inc., for two 3,420 sq.ft. 28-ft-high single-family homes with attached garages, on adjacent lots, on north side of chinquapin avenue, west of garfield street, carlsbad, san diego county.  ",1,1,1
"harbour bay homes development llc to remove wooden cantilevered deck and replace with a 60 ft. long concrete deck cantilevered 5 ft. beyond the bulkhead. also proposed is a 36 inch high tempered glass railing along the perimeter of the deck, at 3352 bounty circle, huntington beach, orange county.   ",4,4,4
"newport harbor yacht club to demolish and replace  105-ft-long seawall, 30-foot long groin, and 5,250 sq. ft. boat storage yard, at 720 west bay avenue, newport beach, orange county.  ",6,6,6
"ocean colony partners for riprap on beach & bluff face, at half moon bay golf links, 2 miramontes point road, half moon bay, san mateo county.  ",6,6,6
"david bersohn to construct 3,003 sq.ft. 26-ft. high single family home, 720-ft. under house carport and workshop, 150 sq.ft. pump house with solar array, water tank, driveway, septic system, outdoor patio, temporary construction trailer, and 1,625 cu.yds. of grading , at 24810 piuma road, malibu, los angeles county.  ",1,1,1
"beth lucas & tim pierce to convert 264 sq.ft. accessory building into 741 sq.ft. 15-ft-high guesthouse, with stairway, 98 cu.yds. of grading, and three retaining walls, at 3910 sierks way in malibu, los angeles county.  ",1,1,1
"city of carpinteria for 5-year permit for annual construction and removal of approx. 1,500-ft. long, 10-12-ft. high, winter sand berm involving approx. 26,000 cu.yds. of grading, including 13,000 cu.yds. of excavation and 13,000 cu.yds. of fill, located at carpinteria city beach, carpinteria, santa barbara county.  ",7,7,7
"lyndon co. llc to demolish 7 apartments on five lots, and construct 10 condominiums , at 123 through 147 lyndon street, hermosa beach, los angeles county.  ",2,2,2
"casa de la playa homeowners assoc. for rock revetment and public stairway, at 4878 pescadero avenue, ocean beach, san diego, san diego county.   ",6,6,6
"prem manjooran to demolish 1,302 sq.ft. duplex on 2,400 sq.ft. canal-fronting lot, and construct three-story, 30-ft. high, 2,058 sq.ft. single-family home with attached 418 sq.ft. garage, at 425 e. carroll canal, venice, los angeles, los angeles county.  ",1,1,1
"NAe-12-006  application by southern california gas co. for first phase of repair and maintenance project to take 9 soil borings along 3 existing above-ground pipelines, located in wetlands, to determine the feasibility of replacing existing pipeline supports, goleta, santa barbara county.  ",12,12,12
"socal communications sites, llc for 120-ft-high communications tower and 150-ft-high tower, at 1953 latigo canyon road , no grading, near malibu, los angeles county.   ",11,11,11
"sobel development company for 2-story single-family home and septic system, at 6178 galahad drive, malibu, los angeles county.   ",1,1,1
"t- mobile west corp. to remove concrete light pole and place new replacement steel light pole with mounted wireless antennas, underground vault, vent stacks, and 2 electrical meters within public right-of-way adjacent to irvine ave, near intersection of irvine ave., and private road, located near upper newport bay regional park, newport beach, orange county.  ",11,11,11
"gary & jeannine isbell for 2,571 sq.ft. 24-ft-high single-family home, attached 420 sq.ft. garage, septic system, gravel driveway & patios with 1,741 cu.yds. of grading and overexcavation, at 26046 mulholland highway, calabasas, los angeles county.  ",1,1,1
"eastwind & associates, llc to demolish a one-story, 1,008 square foot duplex on a 2,704 square foot lot, and construct a four-level, 35-foot high  4,003 sq.ft. single-family residence with a 3-car garage in the basement, at111 eastwind street, venice, los angeles, los angeles county.  ",1,1,1
"malibu beach trust to combine two single-family homes on 2 beachfront lots into one structure, remodel & add 1,110 sq.ft., and combine lots, at 21532 and 21536 pacific coast highway, malibu, los angeles county   ",1,1,1
"robert mackenzie to excavate and inspect  abandoned oil & natural gas well in protected ballona lagoon buffer strip on vacant lagoon-front lot, at 5115 via donte, venice, los angeles, los angeles county.  ",12,12,12
"madalon witter to adjust lot line, at 2100 mcreynolds road, santa monica mountains, los angeles county.  ",10,10,10
"darlene klugherz to convert 1,176 sq.ft. of retail use to restaurant and add 306 sq.ft. of outdoor dining area at site of existing retail center, with 7 offsite parking spaces, at 155 south highway 101, solana beach, san diego county.  ",2,2,2
"daniel & kimberly silverie to demolish 1,460 sq.ft. single-family home, and construct 1,795 sq.ft. 2-story single-family home, at 6th avenue & carpenter street , carmel, monterey county.  ",1,1,1
"kathleen m. mccain revocable trust for 1,935 sq.ft. 1-story single-family home over 594 sq.ft. garage & driveway, and septic system, with 1,179 cu.yds. of grading, on two lots, at 20736 medley lane, topanga, los angeles county.  ",1,1,1
"michael & kathieann saveliev to replace cantilevered deck with 40-ft-long concrete deck cantilevered 5 feet beyond bulkhead, at 16261 tisbury circle, huntington beach, orange county  ",4,4,4
"covespring partners, llc to demolish 4,290 sq.ft., 1-story school and construct 3,987 sq.ft. and 3,917 sq.ft., 3-story buildings with 16 tandem parking spaces for each building, at 309-315 culver blvd., playa del rey, los angeles county.  ",2,2,2
"sharon smith for 10' x 16' float addition to existing dock, at 755 via lido soud, newport beach, orange county.  ",3,3,3
"playa sol oceanfront properties for 6-8 ft-high chain link fence along property lines of vacant beachfront lot, at 6819 pacific avenue, playa del rey, los angeles, los angeles county.   ",4,4,4
"ken scott to demolish 750 sq. ft. office building and construct 2-story mixed use commercial development including commercial retail on ground-floor  and visitor-serving accommodations on second floor , and public access decking along seaward side to connect to existing 30 x 32 ft. public view pier platform, at 501 embarcadero, morro bay, san luis obispo county.  ",2,2,2
"jim collins to demolish single-family home and construct 26-ft-high 2,506 sq.ft. single-family home, attached 451 sq.ft. garage, patio wall, property line walls and 140 sq.ft. of 2nd floor deck, with no grading, on beach front lot, at 7102 west oceanfront, newport beach, orange.  ",1,1,1
"michael mulligan & joseph schwartz to demolish single-family home, and construct 3,929 sq.ft. 30-ft-high single-family home with roof deck and three parking spaces, on 2,937 sq.ft. r3-zoned beachfront lot, at 100 the strand, hermosa beach, los angeles county  ",1,1,1
"raymond boiteux to remove and replace private residential boat dock, pier and gangway in same location using existing piles, at 5469 sorrento drive, long beach, los angeles county.  ",3,3,3
"city of santa barbara waterfront dept. to implement comprehensive ten-year sediment management program involving dredging and beach nourishment , beach grooming, installation of lifeguard towers, and maintenance of storm drain outlets at harbor and waterfront area, including leadbetter beach, west beach, and east beach, city of santa barbara, santa barbara county.  ",7,7,7
"city of coronado for five-year beach curfew for north beach from 11:00 p.m. to 4:00 a.m. & prohibit parking on ocean boulevard between ocean drive and naval air station north island  gate 5 between 11:00 p.m. and 4:00 a.m., at beach west of ocean boulevard  between ocean drive and nasni gate 5 and on ocean boulevard between ocean drive & nasni gate 5, coronado, san diego county.   ",11,11,11
"long beach dept. of parks, recreation & marine for costa del sol public marina, including access pier, gangway, pilings and floating docks for 30 boat slips, at 6200 costa del sol, alamitos bay, long beach, los angeles county.  ",3,3,3
"gary & maria verboon for detached 2-story 750 sq.ft. guesthouse, 3-car garage & septic system, with 640 cu.yds. cut & no fill, at 23702 harbor vista drive, malibu, los angeles county.  ",1,1,1
"NA1-95-62  olympic club granted permit with conditions to develop portions of two holes of golf course and granting to national park service permanent 31-acre public access easement, west of skyline blvd., south of fort funston, city & county of san francisco.   ",10,2,2
"county of humboldt public works dept. to improve public boat launch ramp and parking area by:  expanding parking area on countys-owned parcel ;  creating new parking area on harbor district-owned parcel north of ramp;  installing new lighting;  installing signage and traffic control measures; and  installing tsunami warning siren, at railroad avenue, fields landing, humboldt county.  ",11,11,11
"matt legg for 45-ft-high 3,478 sq.ft. single-family home & attached 3-car garage, at 149 voyage mall, venice, los angeles, los angeles county.  ",1,1,1
"phyllis newsom to demolish 8 x 20 dock, construct 8 x 12dock, remove and replace two 12",3,3,3
"herman jacobs for 95-ft-long 14-ft-high concrete seawall with 26-ft-long return wall on west side, remove rock revetment, and dedicate lateral public access easement, at 31406 broad beach road, malibu, los angeles county.  ",6,6,6
"gary podesto for temporary retention of riprap revetment and subsequent replacement of revetment with shotcrete seawall, along 250 linear feet of beach shoreline fronting manresa state beach, in la selva beach, south santa cruz county.  ",6,6,6
"202 coast, llc to reconstruct vertical concrete seawall including resurfacing part of existing wall, construction of cutoff wall at toe and wave deflector on top of existing wall, place architectural coat of concrete across entire wall to match adjacent sandstone, and extend seawall 10½ feet north & 32½ feet east to protect adjacent storm drain outlet & headwall, seaward of existing 4-story 13-unit condominium building, at 202 coast blvd., la jolla, san diego, san diego county.  ",6,6,6
"sea world san diego for over 30 ft. high temporary set & stage props on ski island and within existing stadium for cirque de la mer show proposed for five summer seasons, at 500 sea world drive, mission bay park, san diego, san diego county.  ",11,2,11
"harry & orsolya salzberg for 2-story 5,781 sq.ft. single-family home, attached 681 sq.ft. garage, covered loggia, pool & spa with deck, driveway & motorcourt, new septic system, solar panels, 6-ft-high perimeter fence, and 1,200 cu.yds. of grading, at 29317 cliffside drive, malibu, los angeles county.  ",1,1,1
"alice andrade to construct 854 sq.ft. gym, 572 sq.ft. 22-ft-high guesthouse above gym, and septic system, at 32433 pacific coast highway, malibu, los angeles county.  ",1,2,1
"jason barzilay to add 641 sq.ft. and remodel existing 2-story single-family home and attached garage to create 3,389 sq.ft. 2-story home, enlarge and replace decks on first and second floors and install three caissons to support addition landward of home, at 22146 pacific coast highway, malibu, los angeles county.  ",1,1,1
"goleta sanitary district to replace 5,561 linear feet of sewer trunk line  in right-of-way next to atascadero and maria ygnacio creeks, goleta, santa barbara county.   ",8,8,8
"dept. of transportation, district 12 to construct 2 retaining walls to stabilize coastal bluff slope adjacent to state route 1 ; retaining wall located at pm 11.61 proposed to be 45-feet high and 40-feet long at 5-ft. offset from edge of road pavement, second retaining wall located at pm 11.65 proposed to be 20-feet high and 40-feet long at 5-ft. off-set from edge of road pavement, approximately 74 cu.yds. of imported fill, new cable railing fencing, retaining wall aesthetic treatment and bluff slope re-vegetation, at state route 1  between el moro beach and moro ridge road, laguna beach, orange county.  ",5,5,5
"alexander rados to remove and replace floating dock, with one 8 x 49 finger & 6 x 29 backwalk, and move gangway & two 14",3,3,3
"marsha naify to remove and replace private u-shaped dock and pier in same location, 4 concrete piles will be replaced in same location with 4 new concrete piles, at 245 bay shore ave, long beach, los angeles county.  ",3,3,3
"lyle parks, trustee to remove and replace u",3,3,3
"eleen auvil hall to demolish 808 sq.ft. single-family home & 355 sq.ft. garage to facilitate new 1785 sq.ft. single-family home & fence, at southwest corner santa rita & 3rd avenue, carmel, monterey county.  ",1,1,1
"city of san diego, engineering capital projects dept. to demolish, rebuild and widen 2-lane southern bridge over los penasquitos creek to 3-lane bridge, improve north torrey pines road north and south of bridge to add northbound lane and improved accessible bus stops north of bridge, at north torrey pines road south of carmel valley road, torrey pines, san diego, san diego county.  ",11,11,11
"amy perrone for 3,269 sq.ft. 23½-ft-high single-family home, detached 953 sq.ft. garage, permeable horse shade structure, driveway, pool, two retaining walls, and septic system, with 2,221 cu.yds. of grading and export of 1,121 cu.yds., at 6305 gayton place, malibu, los angeles county.  ",1,1,1
"james whalen for 2,390 sq.ft. 18-ft-high single-family home , attached 420 sq.ft. garage, detached 750 sq.ft. guesthouse, driveway, retaining walls, chain link fence, septic system and 748 cu.yds. of grading, at 31541 pacific coast highway, malibu, los angeles county.   ",1,1,1
"city of del mar for 12 x 6 cement slab, mobile drainage pump during rainy season, and 19-foot square 6-ft-high slatted chain-link perimeter fence, in railroad right-of-way between public works yard, at 2240 jimmy durante blvd., & beach colony apt's. at 2801-2805 camino del mar, del mar, san diego county.  ",7,11,7
"jay denny & naomi shibata for 2-story single-family home, at 190 sloat avenue, pacific grove, monterey county.  ",1,1,1
"shawn hawthorne to replace concrete floating dock with wooden floating dock of same dimensions , at 107 linda isle, newport beach, orange county.  ",3,3,3
"city of solana beach for farmer's market to be held on sunday afternoons from 2:00 p.m.-6:00 p.m. on 45 parking spaces of existing 160 space parking lot for existing 30,195 sq.ft. commercial center on 2.10 acre lot, at 124-140 lomas santa fe drive, solana beach, san diego county.  ",11,11,11
macara bonja to remove and replace boat dock with same 13 x 33 float configuration. existing gangway and 12,3,3,3
"mark la charite & sons construction, inc., to demolish single-family home, and construct 30-ft-high 6,975 sq.ft. 3-unit condominium with 7 parking spaces, at 1206 south catalina avenue, redondo beach, los angeles county.  ",2,2,1
"t-mobile usa to construct wireless telecommunication facility to include 12 antennas on 52-1/2 ft-high monopole and 160 sq.ft. equipment building at base of pole, at 2144 b street, camp pendleton marine base, san diego county.  ",11,11,11
"city of los angeles department of transportation for establishment of preferential parking district  to prevent overnight parking between the hours of 10 p.m. and 8 a.m. in a residential neighborhood by non-residents, and to make parking more available for residents and their guests, at area bounded by the pacific ocean, ballona creek, the east side of vista del mar, the south side of argonaut street, the east side of esplanade street, south side of convoy street, including 63rd avenue between vista del mar and the dead-end east of vista del mar, in playa del rey, in the city of los angeles, los angeles county.  ",11,11,11
joseph cefalia trust to remove and replace u,3,3,3
"santa cruz county parks department to reconstruct 26th avenue public access stairway  and revetment protecting stairway, bluff top public park, and other public improvements, at 26th avenue beach, in live oak area of santa cruz county.  ",11,11,11
"california department of fish & game to construct three footbridges, 10'x 20' x 14' interpretive exhibit, interpretive signs at eight locations, removal of one footbridge, and upgrade existing trail to meet disability requirements, at mouth of big canyon, upper newport bay ecological reserve, newport beach, orange county.   ",11,11,11
"mr. donald downs to add 100 sq. ft. to existing single-family home and improvements to existing 506 sq. ft. two-car garage; install caisson foundation re-enforcements, 60 sq. ft. garage addition, remodel of garage roof deck, and request for after-the-fact approval of 350 sq. ft. garage lower level guestroom/bathroom and 125 sq. ft. deck, on bluff-top lot, at 333 west paseo de cristobal, san clemente, orange county.  ",1,1,1
"mark and karin ball to construct two-car, 720 sq. ft. garage with second floor 720 sq. ft. guest house totaling 21 2",1,1,1
